County ,County Type,Rating Area,Issuer Name,Plan Type,Unemployment denominator,Unemployment numerator,Uninsured adult  numerator,Uninsured adult denominator,Uninsured children denominator,Uninsured children numerator,Primarycare physicians numerator,Primarycare physicians denominator,Median family income,Median household income,Population,Per capita income,Couple 1 child Age 21,Couple 1 child Age 30,Couple 1 child Age 40,Couple 1 child Age 50,Couple 2 children Age 21,Couple 2 children Age 30,Couple 2 children Age 40,Couple 2 children Age 50,Couple 3 or more Children Age 21,Couple 3 or more Children Age 30,Couple 3 or more Children Age 40,Couple 3 or more Children Age 50,Drug Deductible - family - standard,Drug Deductible - individual - standard,Drug Maximum Out of Pocket - Family  - standard,Drug Maximum Out of Pocket - individual - standard,Emergency Room  - standard,Fips,Generic Drugs - standard,Individual 1 child Age 21,Individual 1 child Age 30,Individual 1 child Age 40,Individual 1 child Age 50,Individual 2 children Age 21,Individual 2 children Age 30,Individual 2 children Age 40,Individual 2 children Age 50,Individual 3 or more children Age 21,Individual 3 or more children Age 30,Individual 3 or more children Age 40,Individual 3 or more children Age 50,Inpatient Facility  - standard,Inpatient Physician - standard,Medical Deductible - individual - standard,Medical Deductible -family - standard,Medical Maximum Out Of Pocket - individual - standard,Medical Maximum Out of Pocket - family - standard,Non-preferred Brand Drugs - standard,Preferred Brand Drugs - standard,Premium Adult Individual Age 21,Premium Adult Individual Age 27,Premium Adult Individual Age 30,Premium Adult Individual Age 40,Premium Adult Individual Age 50,Premium Adult Individual Age 60,Premium Child,Premium Couple 21,Premium Couple 30,Premium Couple 40,Premium Couple 50,Premium Couple 60,Primary Care Physician  - standard,Specialist  - standard,Specialty Drugs - standard,Quality of life(Quartile),Quality of life(Rank),clinicalcare(Quartile),clinicalcare(Rank),healthbehavior(Rank),healthbehaviour(Quartile),physical(Quartile),physical(Rank),socioeconomic(Quartile),socioeconomic(Rank),Length of life(Quartile),Length of life(Rank)
Bureau,Rural,6,Land of Lincoln Mutual Health Insurance Company,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,706.81,779.23,855.95,1128.47,877.14,949.56,1026.28,1298.8,1047.47,1119.88,1196.61,1469.13,0,0,Included in Medical,Included in Medical,500,17011,10,438.57,474.78,513.14,649.4,608.9,645.11,683.47,819.73,779.23,815.44,853.8,990.06,750,25,500,1,3,6,75,35,268.24,281.11,304.45,342.81,479.07,727.99,170.33,536.48,608.9,685.62,958.14,1455.98,20,75,25,1,23,1,24,22,1,1,25,3,62,2,45
Bureau,Rural,6,Land of Lincoln Mutual Health Insurance Company,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,656.96,724.28,795.57,1048.9,815.28,882.6,953.9,1207.22,973.59,1040.92,1112.22,1365.54,0,0,Included in Medical,Included in Medical,500,17011,10,407.64,441.3,476.95,603.61,565.96,599.62,635.27,761.93,724.28,757.94,793.58,920.25,750,30,3,7,6,12,30,35,249.32,261.29,282.98,318.63,445.29,676.65,158.32,498.64,565.96,637.26,890.58,1353.3,30,60,30,1,23,1,24,22,1,1,25,3,62,2,45
Bureau,Rural,6,Coventry Health Care,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,740.75,816.65,897.05,1182.67,919.26,995.16,1075.56,1361.17,1097.77,1173.67,1254.07,1539.69,0,250,Included in Medical,Included in Medical,250,17011,5,459.63,497.58,537.78,680.58,638.14,676.08,716.29,859.09,816.65,854.59,894.8,1037.6,20,20,1,3,5,10,60,30,281.12,294.61,319.07,359.27,502.08,762.96,178.51,562.24,638.14,718.54,1004.16,1525.92,10,50,20,1,23,1,24,22,1,1,25,3,62,2,45
Bureau,Rural,6,Coventry Health Care,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,675.43,744.63,817.94,1078.37,838.2,907.4,980.72,1241.14,1000.97,1070.17,1143.49,1403.91,0,1,Included in Medical,Included in Medical,500,17011,15,419.1,453.7,490.36,620.57,581.87,616.47,653.13,783.34,744.64,779.24,815.9,946.11,500,30,3,7,6,12,75,45,256.33,268.63,290.93,327.58,457.8,695.67,162.77,512.66,581.86,655.17,915.6,1391.34,15,75,30,1,23,1,24,22,1,1,25,3,62,2,45
Bureau,Rural,6,Coventry Health Care,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,543.91,599.63,658.67,868.39,674.98,730.7,789.74,999.46,806.05,861.77,920.81,1130.53,0,0,Included in Medical,Included in Medical,500,17011,15,337.49,365.35,394.87,499.73,468.55,496.41,525.94,630.79,599.63,627.49,657.01,761.87,500,30,5,11,6,12,75,45,206.42,216.32,234.28,263.8,368.66,560.21,131.07,412.84,468.56,527.6,737.32,1120.42,15,75,30,1,23,1,24,22,1,1,25,3,62,2,45
Bureau,Rural,6,Coventry Health Care,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,510.78,563.13,618.57,815.51,633.88,686.22,741.66,938.59,756.97,809.31,864.75,1061.69,0,0,Included in Medical,Included in Medical,0,17011,0,316.94,343.11,370.83,469.29,440.03,466.2,493.92,592.39,563.12,589.29,617.01,715.48,0,0,6,12,6,12,0,0,193.85,203.15,220.02,247.74,346.21,526.11,123.09,387.7,440.04,495.48,692.42,1052.22,0,0,0,1,23,1,24,22,1,1,25,3,62,2,45
Bureau,Rural,6,Coventry Health Care,PPO,55487,2440,5450,86409,23504,556,32,104733,55217,45692,34978,24103,348.74,384.48,422.34,556.79,432.78,468.52,506.38,640.84,516.81,552.55,590.42,724.88,0,0,Included in Medical,Included in Medical,0,17011,0,216.39,234.26,253.19,320.42,300.43,318.3,337.23,404.46,384.47,402.34,421.27,488.5,0,0,6,12,6,12,0,0,132.35,138.71,150.22,169.15,236.38,359.21,84.04,264.7,300.44,338.3,472.76,718.42,25,0,0,1,23,1,24,22,1,1,25,3,62,2,45
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17009,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17009,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17017,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,Blue Cross Blue Shield of Illinois,PPO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17017,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,Blue Cross Blue Shield of Illinois,PPO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,758.69,836.43,918.77,1211.31,941.52,1019.26,1101.6,1394.14,1124.34,1202.09,1284.43,1576.97,0,0,Included in Medical,Included in Medical,400,17001,0,470.76,509.63,550.8,697.07,653.59,692.46,733.63,879.9,836.42,875.29,916.46,1062.73,200,20,500,1,4,12,100,50,287.93,301.75,326.8,367.97,514.24,781.43,182.83,575.86,653.6,735.94,1028.48,1562.86,30,60,150,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17009,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17009,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17017,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17017,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,486.03,535.85,588.58,776.01,603.16,652.98,705.72,893.14,720.29,770.11,822.84,1010.27,0,0,Included in Medical,Included in Medical,40,17001,10,301.58,326.49,352.86,446.57,418.71,443.62,469.99,563.7,535.83,560.75,587.12,680.82,40,40,3,6,6,12,80,40,184.45,193.31,209.36,235.73,329.44,500.61,117.13,368.9,418.72,471.46,658.88,1001.22,40,40,200,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17009,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17009,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17017,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17017,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,615.48,678.54,745.33,982.66,763.8,826.86,893.66,1130.98,912.12,975.18,1041.98,1279.3,0,0,Included in Medical,Included in Medical,20,17001,7,381.9,413.43,446.83,565.49,530.22,561.75,595.15,713.81,678.54,710.06,743.47,862.13,20,20,1,3,5,11,70,35,233.58,244.79,265.11,298.51,417.17,633.92,148.32,467.16,530.22,597.02,834.34,1267.85,20,20,140,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17009,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17009,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17017,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17017,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",HMO,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,385.66,425.18,467.04,615.74,478.6,518.12,559.98,708.68,571.54,611.05,652.92,801.61,0,0,Included in Medical,Included in Medical,0,17001,0,239.3,259.06,279.99,354.34,332.24,352,372.93,447.28,425.18,444.94,465.87,540.22,0,0,6,12,6,12,0,0,146.36,153.38,166.12,187.05,261.39,397.22,92.94,292.72,332.24,374.1,522.79,794.44,0,0,0,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,724.31,798.53,877.13,1156.41,898.86,973.08,1051.68,1330.96,1073.41,1147.63,1226.23,1505.51,0,0,Included in Medical,Included in Medical,0,17009,0,449.43,486.54,525.84,665.48,623.98,661.09,700.39,840.03,798.53,835.64,874.94,1014.58,0,0,2,4,2,4,0,0,274.88,288.07,311.99,351.29,490.93,746.02,174.55,549.76,623.98,702.58,981.86,1492.04,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,724.31,798.53,877.13,1156.41,898.86,973.08,1051.68,1330.96,1073.41,1147.63,1226.23,1505.51,0,0,Included in Medical,Included in Medical,0,17009,0,449.43,486.54,525.84,665.48,623.98,661.09,700.39,840.03,798.53,835.64,874.94,1014.58,0,0,2,4,2,4,0,0,274.88,288.07,311.99,351.29,490.93,746.02,174.55,549.76,623.98,702.58,981.86,1492.04,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,724.31,798.53,877.13,1156.41,898.86,973.08,1051.68,1330.96,1073.41,1147.63,1226.23,1505.51,0,0,Included in Medical,Included in Medical,0,17017,0,449.43,486.54,525.84,665.48,623.98,661.09,700.39,840.03,798.53,835.64,874.94,1014.58,0,0,2,4,2,4,0,0,274.88,288.07,311.99,351.29,490.93,746.02,174.55,549.76,623.98,702.58,981.86,1492.04,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,724.31,798.53,877.13,1156.41,898.86,973.08,1051.68,1330.96,1073.41,1147.63,1226.23,1505.51,0,0,Included in Medical,Included in Medical,0,17017,0,449.43,486.54,525.84,665.48,623.98,661.09,700.39,840.03,798.53,835.64,874.94,1014.58,0,0,2,4,2,4,0,0,274.88,288.07,311.99,351.29,490.93,746.02,174.55,549.76,623.98,702.58,981.86,1492.04,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",POS,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,724.31,798.53,877.13,1156.41,898.86,973.08,1051.68,1330.96,1073.41,1147.63,1226.23,1505.51,0,0,Included in Medical,Included in Medical,0,17001,0,449.43,486.54,525.84,665.48,623.98,661.09,700.39,840.03,798.53,835.64,874.94,1014.58,0,0,2,4,2,4,0,0,274.88,288.07,311.99,351.29,490.93,746.02,174.55,549.76,623.98,702.58,981.86,1492.04,0,0,0,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,699.46,771.14,847.06,1116.76,868.02,939.7,1015.62,1285.32,1036.58,1108.26,1184.18,1453.88,0,0,Included in Medical,Included in Medical,0,17009,0,434.01,469.85,507.81,642.66,602.56,638.41,676.37,811.22,771.13,806.97,844.93,979.78,0,0,2,4,2,4,0,0,265.45,278.2,301.29,339.25,474.1,720.44,168.56,530.9,602.58,678.5,948.2,1440.88,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,699.46,771.14,847.06,1116.76,868.02,939.7,1015.62,1285.32,1036.58,1108.26,1184.18,1453.88,0,0,Included in Medical,Included in Medical,0,17009,0,434.01,469.85,507.81,642.66,602.56,638.41,676.37,811.22,771.13,806.97,844.93,979.78,0,0,2,4,2,4,0,0,265.45,278.2,301.29,339.25,474.1,720.44,168.56,530.9,602.58,678.5,948.2,1440.88,0,0,0,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,699.46,771.14,847.06,1116.76,868.02,939.7,1015.62,1285.32,1036.58,1108.26,1184.18,1453.88,0,0,Included in Medical,Included in Medical,0,17017,0,434.01,469.85,507.81,642.66,602.56,638.41,676.37,811.22,771.13,806.97,844.93,979.78,0,0,2,4,2,4,0,0,265.45,278.2,301.29,339.25,474.1,720.44,168.56,530.9,602.58,678.5,948.2,1440.88,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,699.46,771.14,847.06,1116.76,868.02,939.7,1015.62,1285.32,1036.58,1108.26,1184.18,1453.88,0,0,Included in Medical,Included in Medical,0,17017,0,434.01,469.85,507.81,642.66,602.56,638.41,676.37,811.22,771.13,806.97,844.93,979.78,0,0,2,4,2,4,0,0,265.45,278.2,301.29,339.25,474.1,720.44,168.56,530.9,602.58,678.5,948.2,1440.88,0,0,0,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",POS,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,699.46,771.14,847.06,1116.76,868.02,939.7,1015.62,1285.32,1036.58,1108.26,1184.18,1453.88,0,0,Included in Medical,Included in Medical,0,17001,0,434.01,469.85,507.81,642.66,602.56,638.41,676.37,811.22,771.13,806.97,844.93,979.78,0,0,2,4,2,4,0,0,265.45,278.2,301.29,339.25,474.1,720.44,168.56,530.9,602.58,678.5,948.2,1440.88,0,0,0,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,666.71,735.03,807.39,1064.47,827.38,895.7,968.06,1225.13,988.05,1056.36,1128.73,1385.81,0,0,Included in Medical,Included in Medical,20,17009,7,413.69,447.85,484.03,612.56,574.36,608.52,644.7,773.24,735.03,769.19,805.37,933.91,20,20,1,3,5,10,70,35,253.02,265.17,287.18,323.36,451.9,686.71,160.66,506.04,574.36,646.72,903.8,1373.42,20,20,140,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,666.71,735.03,807.39,1064.47,827.38,895.7,968.06,1225.13,988.05,1056.36,1128.73,1385.81,0,0,Included in Medical,Included in Medical,20,17009,7,413.69,447.85,484.03,612.56,574.36,608.52,644.7,773.24,735.03,769.19,805.37,933.91,20,20,1,3,5,10,70,35,253.02,265.17,287.18,323.36,451.9,686.71,160.66,506.04,574.36,646.72,903.8,1373.42,20,20,140,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,666.71,735.03,807.39,1064.47,827.38,895.7,968.06,1225.13,988.05,1056.36,1128.73,1385.81,0,0,Included in Medical,Included in Medical,20,17017,7,413.69,447.85,484.03,612.56,574.36,608.52,644.7,773.24,735.03,769.19,805.37,933.91,20,20,1,3,5,10,70,35,253.02,265.17,287.18,323.36,451.9,686.71,160.66,506.04,574.36,646.72,903.8,1373.42,20,20,140,4,78,4,96,75,3,1,5,3,71,2,46
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,32893,1277,2728,52095,15373,362,59,66234,51624,41544,13642,19825,666.71,735.03,807.39,1064.47,827.38,895.7,968.06,1225.13,988.05,1056.36,1128.73,1385.81,0,0,Included in Medical,Included in Medical,20,17017,7,413.69,447.85,484.03,612.56,574.36,608.52,644.7,773.24,735.03,769.19,805.37,933.91,20,20,1,3,5,10,70,35,253.02,265.17,287.18,323.36,451.9,686.71,160.66,506.04,574.36,646.72,903.8,1373.42,20,20,140,4,78,4,96,75,3,1,5,3,71,2,46
Adams,Rural,10,"Health Alliance Medical Plans, Inc.",POS,105669,4653,10225,168754,41404,1108,199,209399,55791,43824,67103,24308,666.71,735.03,807.39,1064.47,827.38,895.7,968.06,1225.13,988.05,1056.36,1128.73,1385.81,0,0,Included in Medical,Included in Medical,20,17001,7,413.69,447.85,484.03,612.56,574.36,608.52,644.7,773.24,735.03,769.19,805.37,933.91,20,20,1,3,5,10,70,35,253.02,265.17,287.18,323.36,451.9,686.71,160.66,506.04,574.36,646.72,903.8,1373.42,20,20,140,3,53,1,12,66,3,2,38,1,24,2,42
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,9625,290,597,11188,3090,77,3,14030,50341,38696,6937,17133,676.75,746.11,819.55,1080.49,839.83,909.2,982.64,1243.58,1002.93,1072.29,1145.73,1406.67,0,0,Included in Medical,Included in Medical,20,17009,7,419.91,454.6,491.32,621.79,583.01,617.69,654.41,784.88,746.09,780.78,817.5,947.97,20,20,1,2,4,8,70,35,256.83,269.16,291.51,328.23,458.7,697.05,163.09,513.66,583.02,656.46,917.4,1394.1,20,40,140,1,18,1,25,42,2,1,2,1,12,1,9
Brown,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6469683,278358,837890,10621629,3005189,88404,10241,12802023,50341,38696,6937,17133,676.75,746.11,819.55,1080.49,839.83,909.2,982.64,1243.58,1002.93,1072.29,1145.73,1406.67,0,0,Included in Medical,Included in Medical,20,17009,7,419.91,454.6,491.32,621.79,583.01,617.69,654.41,784.88,746.09,780.78,817.5,947.97,20,20,1,2,4,8,70,35,256.83,269.16,291.51,328.23,458.7,697.05,163.09,513.66,583.02,656.46,917.4,1394.1,20,40,140,1,18,1,25,42,2,1,2,1,12,1,9
Cass,Rural,10,"Health Alliance Medical Plans, Inc.",POS,6949,386,864,12927,3882,111,7,16495,51624,41544,13642,19825,676.75,746.11,819.55,1080.49,839.83,909.2,982.64,1243.58,1002.93,1072.29,1145.73,1406.67,0,0,Included in Medical,Included in Medical,20,17017,7,419.91,454.6,491.32,621.79,583.01,617.69,654.41,784.88,746.09,780.78,817.5,947.97,20,20,1,2,4,8,70,35,256.83,269.16,291.51,328.23,458.7,697.05,163.09,513.66,583.02,656.46,917.4,1394.1,20,40,140,4,78,4,96,75,3,1,5,3,71,2,46
